SYMBOL,SERIES,OPEN,HIGH,LOW,CLOSE,LAST,PREVCLOSE,TOTTRDQTY,TOTTRDVAL,TIMESTAMP,TOTALTRADES,ISIN
20MICRONS,EQ,55.75,56.5,54.55,55.85,56.4,55.0,83468,4625852.05,2018-01-22,748,INE144J01027
3IINFOTECH,EQ,7.05,7.4,6.75,7.4,7.4,7.05,12182877,86276178.7,2018-01-22,5741,INE748C01020
3MINDIA,EQ,18139.0,19070.0,18000.1,18806.2,19000.0,18182.15,1969,36305866.6,2018-01-22,718,INE470A01017
5PAISA,EQ,332.65,339.0,322.0,323.65,324.95,329.65,6862,2243513.65,2018-01-22,314,INE618L01018
63MOONS,EQ,106.8,108.0,104.5,105.0,104.9,106.15,191941,20332071.55,2018-01-22,2503,INE111B01023
8KMILES,EQ,830.7,835.0,748.0,781.05,783.8,826.05,1520996,1163721599.3,2018-01-22,30584,INE650K01021
A2ZINFRA,EQ,40.5,41.25,40.25,40.85,40.95,40.05,1059686,43148783.85,2018-01-22,4101,INE619I01012
AARTIDRUGS,EQ,703.0,734.8,701.6,715.6,717.0,698.0,17560,12601084.8,2018-01-22,1315,INE767A01016
AARTIIND,EQ,1120.05,1145.3,1120.05,1135.4,1135.0,1126.35,16035,18206436.65,2018-01-22,1679,INE769A01020
AARVEEDEN,EQ,56.7,56.7,51.7,53.4,53.65,54.85,50285,2707710.65,2018-01-22,411,INE273D01019
ABAN,EQ,230.4,236.4,226.05,231.25,231.3,230.05,1840596,426888319.35,2018-01-22,18138,INE421A01028
ABB,EQ,1595.0,1611.2,1565.0,1602.3,1600.0,1585.85,79849,127155686.8,2018-01-22,5919,INE117A01022
ABBOTINDIA,EQ,5380.0,5550.0,5380.0,5536.9,5540.0,5488.1,1660,9165313.3,2018-01-22,878,INE358A01014
ABCAPITAL,EQ,177.7,179.4,176.0,178.4,178.65,177.05,2018025,358974604.45,2018-01-22,15690,INE674K01013
ABFRL,EQ,168.0,168.0,165.0,166.05,166.5,167.5,189638,31468068.45,2018-01-22,6186,INE647O01011
ACC,EQ,1816.5,1832.55,1805.5,1827.2,1820.0,1829.5,236750,431017479.1,2018-01-22,8276,INE012A01025
